dteday,season,yr,mnth,holiday,weekday,workingday,cnt
12/1/2012,4,1,12,0,6,0,
12/2/2012,4,1,12,0,0,0,
12/3/2012,4,1,12,0,1,1,
12/4/2012,4,1,12,0,2,1,
12/5/2012,4,1,12,0,3,1,
12/6/2012,4,1,12,0,4,1,
12/7/2012,4,1,12,0,5,1,
12/8/2012,4,1,12,0,6,0,
12/9/2012,4,1,12,0,0,0,
12/10/2012,4,1,12,0,1,1,
12/11/2012,4,1,12,0,2,1,
12/12/2012,4,1,12,0,3,1,
12/13/2012,4,1,12,0,4,1,
12/14/2012,4,1,12,0,5,1,
12/15/2012,4,1,12,0,6,0,
12/16/2012,4,1,12,0,0,0,
12/17/2012,4,1,12,0,1,1,
12/18/2012,4,1,12,0,2,1,
12/19/2012,4,1,12,0,3,1,
12/20/2012,4,1,12,0,4,1,
12/21/2012,1,1,12,0,5,1,
12/22/2012,1,1,12,0,6,0,
12/23/2012,1,1,12,0,0,0,
12/24/2012,1,1,12,0,1,1,
12/25/2012,1,1,12,1,2,0,
12/26/2012,1,1,12,0,3,1,
12/27/2012,1,1,12,0,4,1,
12/28/2012,1,1,12,0,5,1,
12/29/2012,1,1,12,0,6,0,
12/30/2012,1,1,12,0,0,0,
12/31/2012,1,1,12,0,1,1,
